posts,date,time
"💍31 января отмечается День ювелира 

В Приморском районе расположено несколько ювелирных фабрик. Ассортимент изделий широк – кольца, серьги, подвески, печатки, цепи, браслеты, броши, колье, религиозная символика из золота и серебра, покрытого родием, с драгоценными, полудрагоценными, поделочными, синтетическими вставками, а также жемчугом.

#приморский #приморскийрайон",31-01-2023,14:03:00
"📈 Расходы бюджета Петербурга в 2022 году впервые в истории превысили 1 трлн рублей 
 
Председатель Комитета финансов Светлана Енилина представила основные итоги исполнения городского бюджета за прошлый год по оперативным данным. 
 
В 2022 году доходная часть бюджета Санкт-Петербурга исполнена в сумме 1 трлн 162,9 млрд ₽. Существенную часть от общего объема доходов города составляют собственные доходы – налоговые и неналоговые– 96,5%, на безвозмездные поступления приходится лишь 3,5%. 
 
Расходная часть бюджета Санкт-Петербурга в 2022 году впервые в истории также превысила отметку в 1 трлн ₽ и составила 1 трлн 43,2 млрд ₽. В абсолютном выражении расходы превысили показатели 2021 года почти на 247 млрд ₽. 
 
Наибольший объем освоенных средств пришелся на следующие госпрограммы: 
🚌 «Развитие транспортной системы Санкт-Петербурга» ‒ 240,5 млрд рублей (24,7% в общем объеме исполнения программных расходов, исполнение составило 99,1%); 
👩‍🏫 «Развитие образования» ‒ 209,6 млрд рублей (21,5% в общем объеме исполнения программных расходов, исполнение составило 99,9%); 
💊 «Развитие здравоохранения» ‒ 169,2 млрд рублей (17,4% в общем объеме исполнения программных расходов, исполнение составило 99,5%); 
👥 «Социальная поддержка граждан» ‒ 109 млрд рублей (11,2% в общем объеме исполнения программных расходов, исполнение составило 99,8%).",30-01-2023,19:07:00
"Доходы бюджета Санкт-Петербурга 
 
✔Доходная часть бюджета относительно 2021 года выросла более, чем на 319,6 млрд ₽ (или на 37,9%) и достигла величины 1 трлн 162,9 млрд ₽. 
 
✔Объем свыше триллиона сложился не только по общему итогу 
(с учетом межбюджетных трансфертов из федерального бюджета), 
но и по собственным доходам. 
 
✔Темпы роста собственных доходов в 2022 году достигли максимальных значений за последние 16 лет. 
 
✔Реальные темпы в 2022 году также на высоком уровне: по общему объёму темп роста составил 121,5%, а по собственным – 125,1%. 
 
✔В 2022 году объем безвозмездных поступлений составил 40,1 млрд ₽. 
 
✔Показатель бюджетной обеспеченности собственными доходами 
в расчете на 1 жителя за 5 лет вырос вдвое: со 104 тыс. ₽ в 2018 году до 209 тыс. ₽ в 2022 году. 
 
✔Санкт-Петербург занимает второе место среди субъектов федерации по объему доходов региональных бюджетов.",30-01-2023,18:10:00
"💡В Приморском районе завершилась реконструкция системы освещения в Красногвардейском переулке. На проезжей части стало светлее. 

🛠Работы выполнили специалисты СПб ГБУ «Ленсвет». Установлено 17 современных светодиодных светильников, 15 металлических опор, проложено 1,1 км сетей, подключено оборудование к дистанционной системе управления. Чтобы снизить дефекты сетей, линии освещения полностью убрали в землю. 

Источники света нового поколения отличаются низким энергопотреблением, надежностью, удобством в эксплуатации. С установкой светодиодных светильников повысился комфорт и безопасность транспортного и пешеходного движения в темное время суток. 

🗓В 2023 году в Приморском районе запланировано завершить строительство освещения в квартале недалеко от станции метро «Беговая». Современные фонари осветят Беговую, Школьную, Яхтенную улицы. В числе парков – аллея Чернобыльцев, Пионерский сад. 
 
#приморский #приморскийрайон",30-01-2023,15:26:00
"❄В выходные зима вернулась в город. Работники ручного труда Приморского района расчищают дорожки, тротуары, подходы к парадным и контейнерным площадкам. Во дворах для оперативной уборки снега привлекаются средства малой механизации. 

🚜На видео: уборка снега на ул. Аэродромная, д. 11

#ДелаемПетербургЧище
#приморский #приморскийрайон #снег",30-01-2023,11:11:11
"🚛 Расписание экомобилей на неделю 
 
✅✅✅ Что примут в экомобили: 
💡 ртутные и светодиодные лампы 
📍 ртуть, ртутные термометры и прочие ртутные приборы 
🔋 батарейки и аккумуляторы 
🖥 старую бытовую, электронную, компьютерную и оргтехнику 
(кроме крупногабаритной) 
🕳 отработанные масла 
💊 лекарственные препараты с истекшим сроком годности 
🌬 старые противогазы и их комплектующие 
🧪 бытовые химические средства, лаки и краски с истекшим сроком годности 
 
Не можете найти экомобиль? 
📞 417-59-36 
(мобильная экологическая дежурная служба)",30-01-2023,08:14:49
"🏆Ребята из школы №657 Приморского района блестяще проявили себя на Единых играх специальной Олимпиады в январе 2023 года. Специальный Олимпийский Комитет Санкт-Петербурга включил 
6 учеников школы в сборную России. 

Учащиеся показали отличные результаты, завоевав на соревнованиях 
в Казани медали различного достоинства по фигурному катанию 
и плаванию. 

Вот имена наших победителей в фигурном катании: 
Иванов Александр — золотая медаль; 
🥇Генина Вера — золотая медаль; 
🥈Сергеева Алёна — серебряная медаль; 
🥇Акифьева Дарья (выпускница) — золотая медаль 
🥉Степанова Олеся (выпускница) – бронзовая медаль. 
🏆Лаврова Анна — 5-е место 
🥇Егоров Пётр — золотая медаль по плаванию. 
 
Поздравляем наших победителей! Так держать! 
 
⛸В ГБОУ школе №657 Приморского района Санкт-Петербурга обучаются дети с ограниченными возможностями здоровья. Несмотря 
на сложности в освоении основных учебных предметов, обучающиеся показывают отличные результаты в творческих и спортивных соревнованиях. 

🏋‍♀Дети много и усердно тренируются, принимают активное участие 
в российских и международных соревнованиях и доблестно защищают честь российской Федерации, Петербурга и Приморского района.",30-01-2023,07:07:00
"В 79-ю годовщину полного освобождения Ленинграда от фашистской блокады в Приморском районе прошла акция ""Свеча памяти""

В рамках акции [club116095563|участники] почтили память жителей блокадного Ленинграда, чья жизнь прервалась в те тяжёлые годы, и зажгли свечи.",29-01-2023,18:07:00
"Волонтёры из [club116095563|Молодёжного совета] при главе администрации Приморского района в дни памятных мероприятий, посвящённых 79 годовщине освобождения Ленинграда от фашисткой блокады, навестили ветеранов и блокадников.

Один из них - выдающийся спортсмен, олимпийский чемпион 1956 года по гребле, чемпион Европы и четырёхкратный чемпион СССР, Заслуженный мастер спорта СССР Павел Петрович Харин. 

В дни блокады он работал на вагоностроительном заводе имени Егорова, точил головки для мин. Потом токарь Павел Харин попал во флотский экипаж. Дошёл до Германии в звании старшины второй статьи. 

Служил в Кронштадте. Участник Великой Отечественной войны, имеет боевые награды. 

Ребята поздравили Павла Петровича с праздником, подарили подарки и пожелали здоровья и бодрости духа.",29-01-2023,16:26:00
"Дача Е.П. Салтыковой, фото 1967 года.",29-01-2023,11:28:00
"На прямую линию с Губернатором Петербурга обратилась бабушка — Елена Николаевна и рассказала о неприятной ситуации, в которой оказался её внук. 
 
Ему по программе предоставления жилья детям-сиротам в порядке очереди выделено жилье. Но после подписания договора социального найма в Государственном жилищном агентстве выяснилось, что от прежних владельцев осталась задолженность за электроэнергию — 1896 рублей. А ответственные работники посоветовали Елене Николаевне по всем вопросам обращаться в Петроэлектросбыт. 
 
«Решение этого вопроса возложили на сироту, хотя по закону детям этой категории предоставляют жилье без долгов. Наше государство и администрация города много делают для детей этой категории. Но поражает отношение людей, которые нарушают законы и дискредитируют органы власти. Их отношение грубое и даже унизительное. Надеюсь на ваше вмешательство. Мой внук — достойный молодой человек. Он окончил школу с золотой медалью, поступил в университет и свой вклад в развитие нашего города он несет обязательно», — рассказала Елена Николаевна. 
 
Глава города поблагодарил петербурженку за вопрос и ответил, что решений по этой ситуации будут приняты решения: 
 
• молодого человека освободят от уплаты задолженности, оставшейся от прежних владельцев; 
• в отношении сотрудников, которые проблему создали и отказались её устранить, примут меры.",28-01-2023,16:21:11
"Льготы для детей участников СВО будут действовать, даже если мужчина не является их официальным родителем или опекуном. Об этом в ходе прямой линии с жителями сказал глава города. 
 
Такое решение градоначальник принял после обращения петербурженки на его страницу в соцсети «ВКонтакте» с просьбой расширить действие льгот на детей, которых воспитывают участники СВО, не являясь при этом их законными усыновителями. 
 
Губернатор заявил, что в течение двух недель будет найден правовой механизм, чтобы льготами могли пользоваться все дети, которых воспитывают участники СВО.",28-01-2023,16:06:30
"Сегодня в 16:00 начнётся прямая линия с [https://vk.com/a_beglov|Губернатором Александром Бегловым]. 
 
Будут рассмотрены вопросы, которые жители Петербурга задавали на странице главы города «ВКонтакте» и через колл-центр. 
 
Главная тема эфира — уборка города. По подсчётам Центра управления регионом, именно ей посвящено наибольшее количество обращений петербуржцев. 
 
Другие вопросы также не останутся без внимания — на них ответят после прямой линии.",28-01-2023,12:11:19
"🆕С 1 марта в Правила дорожного движения вступают в силу новые дорожные знаки и информационные таблички. 
 
⬇ Знаки парковки 
⬇ Знак запрета движения автобусов 
⬇ Табличка СИМ (средства индивидуальной мобильности) 
⬇ Табличка места зарядки электромобилей

Как выглядят новые знаки можно увидеть здесь👇",28-01-2023,11:06:01
"🚑Где можно пройти диспансеризацию и профилактические осмотры взрослым👇
 
1. «Городская поликлиника №111», Ольховая ул., д. 6 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
2. «Городская поликлиника №98», Серебристый бульвар, д. 14, корп. 1, лит А 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
3. «Городская поликлиника №102», ул. Королёва, д. 5 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
4. «Городская поликлиника №102» поликлиническое отделение №125, Вербная ул., д. 14 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
5. «Городская поликлиника №49» поликлиническое отделение №33, ул. Оскаленко, д. 18 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
6. «Городская поликлиника №49» поликлиническое отделение №63, п. Лисий Нос, Морской пр., д. 3 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
7. «Городская поликлиника №49», ул. Ланская, д. 12 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
8. «Городская поликлиника №114», ул. Школьная, д. 116 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
9. «Городская поликлиника №114» поликлиническое отделение №115, ул. Шаврова, д. 19 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
10. СПБ ГБУЗ «Городская поликлиника №114» поликлиническое отделение №121, ул. Камышовая, д. 50 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
 
🚑Где можно пройти диспансеризацию и профилактические осмотры детям👇
1. «Городская поликлиника №114», ДПО №50, Лыжный пер., д. 5 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
2. «Городская поликлиника №114», ДПО № 75, Шаврова ул., д. 21, к. 2 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
3. «Городская поликлиника №114», ДПО №70, Камышовая ул., д. 48, к. 2 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
4. «Городская поликлиника №114», ДПО №16, Школьная ул., 114 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
5. «Городская поликлиника №111», ДПО №77, Ольховая ул., д. 2 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
6. «Городская поликлиника №49», ДПО №20, Школьная ул., д. 16 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
7. «Детская поликлиника №30», Королева ул., д. 3 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
8. «Детская поликлиника №30», ДПО 4, Серебристый б-р, д. 14. к. 2 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00. 
9. «Детская поликлиника №30», ДПО 2, Вербная ул., д. 16 
Режим работы: понедельник-пятница с 08:00 до 20:00, суббота с 09:00 до 15:00.",28-01-2023,07:12:00
"В день полного освобождения Ленинграда от фашистской блокады в сквере им. Ольги Берггольц прошла акция памяти «Ленинградский День Победы». 
 
Импровизированная сцена расположилась в центре сквера, возле памятника печатной машинке. 
 
В этот памятный день здесь прозвучали стихи, посвящённые подвигам жителей блокадного Ленинграда. Зрители услышали уникальные архивные радиозаписи, на которых слышны взрывы снарядов. 
 
Мероприятие посетили ветераны, жители блокадного Ленинграда, школьники и жители Приморского района. 
 
Акция завершилась возложением цветов. 
 
79 лет назад — 27 января 1944 года — блокада Ленинграда была полностью снята. Этот день жители осаждённого города по праву стали называть Ленинградским днём победы. 
 
В этот день ежегодно в Петербурге проходит множество памятных акций, концертов, живые цветы несут к мемориалам и памятникам, связанным с блокадой Ленинграда. 

#приморский #приморскийрайон",27-01-2023,14:06:01
"Сегодня 27 января на Серафимовском кладбище прошла торжественно-траурная церемония возложения цветов, посвященная 79-й годовщине со дня полного освобождения Ленинграда от фашистской блокады. 

Возложили венки аппарат полномочного представителя Президента РФ в Северо-Западном ФО, депутаты Государственной Думы РФ, Законодательного Собрания Санкт-Петербурга, члены Правительства Санкт-Петербурга и представители ГУ Министерства внутренних дел России по Петербургу и Ленобласти, делегация Петроградского района. 

В мероприятии также приняли участите глава администрации Приморского района Алексей Никоноров, главы муниципальных образований, ветераны, блокадники, члены молодежного совета, волонтеры района. 

Во время Великой Отечественной войны Серафимовское кладбище было местом массового захоронения ленинградцев, погибших и умерших во время блокады Ленинграда. В 1941—1944 гг. здесь было похоронено более 100 тысяч человек.

#приморский #приморскийрайон",27-01-2023,11:57:08
"В Петербурге создан совет по поддержке участников СВО для обсуждения новых видов помощи семьям военнослужащим. 
 
«Город многое делает, но потребности меняются. Могут потребоваться системные меры, решения на уровне правительства города или Законодательного Собрания. Для подготовки таких решений и создан Совет. От каждого района в него вошли близкие родственники наших бойцов», — отметил [https://vk.com/a_beglov|Губернатор Александр Беглов]. 
 
Сейчас в Петербурге действует дополнительный социальный пакет для детей участников СВО, в него входит: 
 
• первоочередной приём детей в общеобразовательные учреждения; 
• бесплатное горячее питание в школах; 
• бесплатный проезд в общественном транспорте; 
• освобождение от родительской платы в дошкольных учреждениях; 
• бесплатные путёвки в детские лагеря. 
 
Также за каждой семьёй закреплены кураторы социальных служб. При необходимости им оказывается юридическая, материальная и гуманитарная помощь.",27-01-2023,10:00:03
"🚛 Экомобиль приедет в Приморский район в воскресенье 
 
✅ Что примут в экомобили: 
💡 ртутные и светодиодные лампы 
📍 ртуть, ртутные термометры и прочие ртутные приборы 
🔋 батарейки и аккумуляторы 
🖥 старую бытовую, электронную, компьютерную и оргтехнику 
(кроме крупногабаритной) 
🕳 отработанные масла 
💊 лекарственные препараты с истекшим сроком годности 
🌬 старые противогазы и их комплектующие 
🧪 бытовые химические средства, лаки и краски с истекшим сроком годности 
 
Не можете найти экомобиль? 
📞 417-59-36 
(мобильная экологическая дежурная служба)",27-01-2023,08:49:00
"Уважаемые ветераны, блокадники! 
 
Ленинградцы-петербуржцы! 
 
Поздравляем вас со священным праздником – Днем полного освобождения Ленинграда от фашистской блокады! 
 
Сегодня исполняется 79 лет как над Невой прогремел салют в честь победы под Ленинградом. 
 
Выдержавшие 900 дней блокады, ленинградцы до сих пор остаются примером благородства, мужества и стойкости. 
 
18 января мы отметили юбилей нашей первой Ленинградской Победы. 80 лет назад было прорвано блокадное кольцо. Эта дата стала событием национального масштаба. Но мы помним, что еще больше года враг оставался под стенами Ленинграда. 
 
Артобстрелы продолжались до 22 января 1944 года. Но это были уже дни наступления и последние дни блокады. 
 
В ходе операции «Январский гром» были освобождены Пушкин, Стрельна, Петергоф, Гатчина – наши родные и любимые города. 
 
Мы всегда будем помнить имена маршалов Жукова, Говорова, Мерецкова, адмирала Трибуца. 
 
В наших сердцах – память обо всех погибших воинах и жителях блокадного Ленинграда. О тех, чьими именами названы улицы и проспекты, и тех, кто безымянными покоится в братских могилах. 
 
На примере героизма и мужества защитников и жителей блокадного Ленинграда воспитано сильное поколение. 
 
Сегодня наши воины – братья, отцы, мужья, сыновья – защищают Россию. 
 
Среди них – ленинградцы-петербуржцы – прямые наследники поколения защитников и победителей! 
 
Они – наша гордость и слава! 
 
Низкий поклон всем ветеранам и блокадникам! 
 
Вечная память всем погибшим защитникам Родины. 
 
Мира и добра всем! 
 
Победы – нашему Отечеству! 
 
Губернатор Санкт‑Петербурга 
А.Д.Беглов 
 
Председатель Законодательного Собрания Санкт‑Петербурга 
А.Н.Бельский",27-01-2023,05:43:22
"[club10277509|Центр спорта Приморского района] объявляет о старте спартакиады среди семейных команд 

28 января в 16:30 приглашаем всех желающих принять участие в отборочном этапе ВФСК ГТО. 

Для участия вам необходимо иметь при себе: 
✅Оригинал мед. допуска (формулировка: допущен до выполнения комплекса ГТО) 
✅Документ, удостоверяющий личность 
✅УИН (с сайта gto.ru) 
✅Спортивная форма и сменная обувь (соответствующая выполняемому виду) 
 
Регистрация под постом в группе [club58723214|Спартакиады] 
ФИО всех участников команды, год рождения, категория.",26-01-2023,15:21:00
"Жители могут получить необходимые документы и выписки без посещения различных инстанций благодаря порталу госуслуг — там же доступно много сервисов для семей с детьми. 
⁣ 
Теперь онлайн можно узнать и остаток маткапитала — в ролике есть подробная инструкция, посмотрите его. Получить услугу можно по ссылке https://vk.cc/ckBzPu 
⁣ 
Выписка придет в ваш личный кабинет после того, как заявка будет сформирована. Если выписка нужна в бумажном виде, то ее можно получить в любом отделении Социального фонда. 
⁣ 
В Петербурге офис Социального фонда находится на пр. Энгельса, 73. Вопросы по его работе и услугам можно задать на горячей линии 8-800-6000-000. 
⁣",26-01-2023,13:58:08
"Сегодня в ТАСС прошла пресс-конференция по вопросам диспансеризации жителей Санкт-Петербурга. Участие в ней приняла заместитель главы администрации Приморского района Мария Фролова. 

🚑В Приморском районе в 2022 году диспансеризацию и профосмотры прошли 207,5 тысяч взрослых и более 120 тысяч детей. 

Статистика показала, что взрослые стали лучше следить за своим здоровьем. По сравнению с 2021 годом число жителей, прошедших диспансеризацию и профосмотры в 2022 году, выросло в 2,5 раза! 

🛏В 2023 году поликлиники Приморского района готовы обследовать 289 тысяч взрослых и 123,5 тысяч детей. 

«В районе созданы все условия, чтобы максимально сократить время прохождения обследования. Можно дистанционно заполнить анкету, записаться на исследования, на прием к врачам-специалистам. Чтобы проверить свое здоровье нужно не более 3 дней», - подчеркнула Мария Фролова. 

Диспансеризация проводится в 10 взрослых и 9 детских поликлиниках района. 

❗Следите за своим здоровьем! Регулярно проходите медицинские осмотры и врачей-специалистов! 

#приморский #приморскийрайон",26-01-2023,11:30:26
"Петербург полностью обеспечен лекарствами против гриппа и ОРВИ. 
Уточнить наличие препартов в той или иной аптеке можно в городской справочной службе: 246-11-11. 
 
Помимо готовых лекарственных средств от производителей есть те, которые аптеки изготавливают сами: порошки «Антигриппин», микстуры от кашля, витаминные порошки, аскорбиновая кислота и не только. 
 
Для вашего удобства подготовили шпаргалку по доступным препаратам в инфографике. 
 
❗️И помните, поставить диагноз и назначить подходящее лечение может только врач. Запись на приём ведётся круглосуточно по номеру 122.",26-01-2023,10:58:16
,26-01-2023,09:03:34
"Завершилась масштабная реконструкция насосной станции в нашем районе

Проект был реализован за три года по Адресной инвестиционной программе. Все это время станция работала в обычном режиме. 
 
Специалисты переложили инженерные сети, установили технологическое и силовое оборудование. Новые насосные агрегаты позволят на 20% снизить расход электроэнергии. Машинное отделение полностью автоматизировано. Станция управляется из диспетчерского пункта. 
 
Реконструкция значительно снизила потенциальную аварийность в зоне обслуживания станции. Кроме того, специалисты устранили проблемы с возможным снижением напора воды в часы пиковых нагрузок.

#приморский #приморскийрайон",25-01-2023,15:31:00
,24-01-2023,15:52:20
"❄В Петербурге снова снег. На уборку вышли 856 дворников и 31 машина: пескопосыпки, плужнощет, погрузчики, самосвалы. Уборка организована во всех кварталах Приморского района.

🚜На фото: процесс уборки внутридворовых территорий, тротуаров и подходов к контейнерным площадкам на ул. Авиаконструкторов, 13, ЖК ""Новоорловский"" и ул. Матроса Железняка, 53.

#ДелаемПетербургЧище
#приморский #приморскийрайон #снег",24-01-2023,12:31:54
"К нам в соц.сетях обратилась жительница района с просьбой получить запись с камер видеонаблюдения. Рассказываем как можно получить видеозапись.

📹 Любой человек может оставить заявку на сохранение видеоархива с городской камеры. Но это касается только тех камер, информация с которых поступает в Городской мониторинговый центр.

📞Заявку на сохранение видеоархива можно оставить либо позвонив по тел. 576-26-15 в Городской мониторинговый центр, либо самостоятельно с помощью мобильного приложения «Безопасный Санкт-Петербург». После сохранения видео, ему будет присвоен номер (идентификатор). 

👮‍♂Видеозапись выдается только по запросу правоохранительных и судебных органов, органов прокуратуры и адвокатов уполномоченному сотруднику. Сообщите номер (идентификатор) снятого или сохраненного видео при обращении в правоохранительные органы. 

#приморский #приморскийрайон",24-01-2023,10:22:00
"Во время визита в Петербург Президент Владимир Путин провёл рабочую встречу с Губернатором Александром Бегловым. 

Глава города поблагодарил Владимира Путина за помощь и поддержку Северной столицы: «Это очень важно, потому что благодаря Вашим поручениям, Вашей заботе сегодня Санкт-Петербург действительно имеет хорошую, устойчивую позицию».

Также Губернатор доложил о ситуации по основным направлениям развития города. Главные тезисы размеcтили в инфографике.",24-01-2023,09:20:00
"С 1 февраля пройдет ежегодная индексация пособий и выплат — более 40 из них станут больше на 11,9%. Коэффициент индексации рассчитывают на основе индекса потребительских цен. 
 
Особое внимание — поддержке семьям с детьми. Вырастут единовременное пособие при рождении ребенка, ежемесячное пособие по уходу за ним, маткапитал: на первого ребенка он составит 587 тысяч рублей, на второго — почти 775,6 тысяч рублей. 
 
Больше станут и другие выплаты на детей, а также ветеранам, героям труда, героям Советского Союза, героям России, чернобыльцам и другим категориям жителей. Благополучие граждан по-прежнему остается в приоритете независимо от экономических и геополитических обстоятельств.",24-01-2023,08:27:16
"Сегодня глава администрации Приморского района Алексей Никоноров поздравил с днем рождения олимпийскую чемпионку XV Игр летней Олимпиады 1952 года в Хельсинки, заслуженного мастера спорта СССР Галину Ивановну Зыбину. 

Одна из лучших легкоатлеток страны родилась 22 января 1931 года в Ленинграде. В течение 15 лет Зыбина входила в состав сборной СССР. 

Участница 4-х Олимпиад, обладательница 3-х олимпийских медалей и 8 мировых рекордов в легкой атлетике! 

Спортсменка награждена орденом Трудового Красного Знамени. В годы Великой Отечественной войны 13-ти летняя Галина Зыбина получила медаль «За оборону Ленинграда». 

Именно Зыбиной было доверено почетное право открыть Эстафету Олимпийского огня 2008 года в Санкт-Петербурге.",23-01-2023,17:20:00
"🔧Новые теплосети взамен изношенных появятся в квартале 27А Озеро Долгое, ограниченном ул. Шаврова, Комендантским пр., Долгоозерной ул. и пр. Авиаконструкторов. 

В ходе реконструкции ГУП «ТЭК СПб» заменит 3 462 метра внутриквартальных трубопроводов диаметром 50-250 мм. 

🏠Выполненные работы обеспечат надежность и качество теплоснабжения 25 зданий, в том числе 17 жилых домов, 2 детских учреждений и 2 школ. 

Теплее и комфортнее станет в домах почти 13 000 петербуржцев. В настоящее время специалисты готовят территорию к земляным работам и завозят на участок необходимые для стройки материалы. 

Монтаж сетей с учетом благоустройства завершится осенью 2024 года. 
В 2022 году в Приморском районе обновлено свыше 12,47 км сетей. Из них за счет собственных средств предприятия - 5,27 км.",23-01-2023,15:43:18
